Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
P32883,RASK_MOUSE,Kras,GTPase KRas,1.37153E+07,1.10034E+07,9.94911E+06,8.82124E+06,8.93762E+06,9.47192E+06,1.27774E+07,1.16889E+07,1.31047E+07,1.22859E+07,1.15688E+07,1.21108E+07,
P24369,PPIB_MOUSE,Ppib,Peptidyl-prolyl cis-trans isomerase B,1.4801E+08,1.31541E+08,1.28629E+08,1.09676E+08,1.12598E+08,1.09141E+08,1.43947E+08,1.43259E+08,1.38026E+08,9.57928E+07,9.89556E+07,9.81315E+07,
Q8CI33,C19L1_MOUSE,Cwf19l1,CWF19-like protein 1,1.28393E+07,1.13341E+07,9.41268E+06,1.26461E+07,1.15238E+07,1.10811E+07,1.39908E+07,1.58645E+07,1.46562E+07,1.69846E+07,1.87381E+07,1.87622E+07,
Q8CGF7,TCRG1_MOUSE,Tcerg1,Transcription elongation regulator 1,3.17126E+07,2.75154E+07,3.12668E+07,3.39686E+07,3.2585E+07,3.21206E+07,3.12777E+07,3.27262E+07,2.71688E+07,3.98058E+07,3.85092E+07,3.83779E+07,
Q9CR62,M2OM_MOUSE,Slc25a11,Mitochondrial 2-oxoglutarate/malate carrier protein,4.90645E+07,5.58176E+07,5.90013E+07,5.99556E+07,5.78731E+07,6.54129E+07,6.22298E+07,5.56924E+07,7.02405E+07,8.3996E+07,8.08994E+07,8.65209E+07,
Q9QY81,PO210_MOUSE,Nup210,Nuclear pore membrane glycoprotein 210,1.89873E+07,2.0055E+07,2.39261E+07,1.83125E+07,1.87057E+07,1.91732E+07,2.20136E+07,2.11738E+07,2.08522E+07,2.27681E+07,2.17478E+07,2.29552E+07,
Q9Z248,AEBP2_MOUSE,Aebp2,Zinc finger protein AEBP2,1.73447E+07,1.57469E+07,1.74633E+07,4.64532E+06,,4.49292E+06,1.52464E+07,1.72385E+07,1.41804E+07,6.80742E+06,,6.98329E+06,
Q91ZN5,S35B2_MOUSE,Slc35b2,Adenosine 3'-phospho 5'-phosphosulfate transporter 1,4.38735E+06,3.67204E+06,3.84579E+06,3.00875E+06,2.73023E+06,2.77082E+06,3.94646E+06,4.31199E+06,3.76768E+06,3.77487E+06,3.48834E+06,3.54176E+06,
G5E8P1,BRD1_MOUSE,Brd1,Bromodomain-containing protein 1,2.29142E+07,2.46059E+07,2.63477E+07,1.7428E+07,1.81322E+07,1.68053E+07,2.01249E+07,2.88765E+07,2.40391E+07,2.06211E+07,2.22693E+07,2.12707E+07,
Q8BHS3,RBM22_MOUSE,Rbm22,Pre-mRNA-splicing factor RBM22,1.30701E+07,1.32403E+07,1.22774E+07,1.76272E+07,1.69343E+07,1.76893E+07,1.24481E+07,1.47461E+07,1.4741E+07,1.5049E+07,1.57455E+07,1.48771E+07,
Q9JKK8,ATR_MOUSE,Atr,Serine/threonine-protein kinase ATR,1.14833E+08,9.61117E+07,9.84736E+07,7.5416E+07,7.40253E+07,7.35408E+07,1.03423E+08,9.54107E+07,8.91111E+07,8.16546E+07,8.03626E+07,8.34245E+07,
Q99LY9,NDUS5_MOUSE,Ndufs5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,620364,624105,487199,519373,551366,620732,519908,408940,527037,813119,883093,960158,
Q0KL01,UBX2B_MOUSE,Ubxn2b,UBX domain-containing protein 2B,7.4338E+06,7.22748E+06,5.90209E+06,4.52447E+06,,4.6853E+06,5.54441E+06,8.06678E+06,9.21827E+06,7.32759E+06,7.24761E+06,6.5933E+06,
Q8R179,KBTB4_MOUSE,Kbtbd4,Kelch repeat and BTB domain-containing protein 4,3.90706E+07,3.75791E+07,4.05612E+07,3.53753E+07,,3.62136E+07,3.99241E+07,3.84381E+07,3.15973E+07,4.92948E+07,4.78731E+07,5.23107E+07,
Q91VJ4,STK38_MOUSE,Stk38,Serine/threonine-protein kinase 38,2.49092E+07,2.15535E+07,2.39046E+07,2.50158E+07,2.63901E+07,2.41079E+07,2.30863E+07,2.59752E+07,2.21885E+07,3.00787E+07,2.93628E+07,3.09702E+07,
Q64131,RUNX3_MOUSE,Runx3,Runt-related transcription factor 3,2.76439E+07,3.15296E+07,3.01198E+07,2.62025E+07,,2.68092E+07,2.89886E+07,3.08809E+07,2.10423E+07,3.11707E+07,3.07784E+07,3.15676E+07,
Q9CR88,RT14_MOUSE,Mrps14,"28S ribosomal protein S14, mitochondrial",536186,964384,888778,817032,,824550,1.12879E+06,745297,962890,1.05442E+06,1.12334E+06,1.06234E+06,
Q64430,ATP7A_MOUSE,Atp7a,Copper-transporting ATPase 1,1.14341E+07,1.30566E+07,1.36795E+07,1.11886E+07,1.12829E+07,1.12326E+07,1.22016E+07,1.08355E+07,1.14006E+07,1.30284E+07,1.35042E+07,1.36149E+07,
Q80TJ7,PHF8_MOUSE,Phf8,Histone lysine demethylase PHF8,8.55764E+06,9.56016E+06,8.14219E+06,8.20776E+06,5.9492E+06,7.72409E+06,1.13971E+07,7.16521E+06,9.35682E+06,1.28409E+07,1.30403E+07,1.18722E+07,
Q80TE0,RPAP1_MOUSE,Rpap1,RNA polymerase II-associated protein 1,1.25159E+07,1.09468E+07,1.24417E+07,5.85856E+06,,5.51833E+06,1.25399E+07,9.91176E+06,9.59369E+06,7.61601E+06,7.37317E+06,7.9305E+06,
Q8R5F8,ES8L1_MOUSE,Eps8l1,Epidermal growth factor receptor kinase substrate 8-like protein 1,3.83994E+06,3.15621E+06,2.87289E+06,6.89286E+06,,6.50873E+06,1.71569E+06,1.93396E+06,2.21077E+06,2.25372E+06,,2.47144E+06,
Q8R0A0,T2FB_MOUSE,Gtf2f2,General transcription factor IIF subunit 2,1.67157E+07,1.62742E+07,1.29429E+07,1.96364E+07,2.07927E+07,2.08172E+07,1.70574E+07,1.37752E+07,1.60588E+07,1.67977E+07,1.51076E+07,1.7008E+07,
Q9EQU5,SET_MOUSE,Set,Protein SET,1.12881E+08,1.11794E+08,1.04859E+08,1.54191E+08,1.53324E+08,1.38399E+08,9.83695E+07,9.42717E+07,9.67905E+07,1.0777E+08,1.1169E+08,1.17358E+08,
P97310,MCM2_MOUSE,Mcm2,DNA replication licensing factor MCM2,1.03221E+08,9.64861E+07,9.99986E+07,7.83318E+07,8.35585E+07,8.65306E+07,1.08111E+08,9.44187E+07,9.34497E+07,1.02906E+08,1.04184E+08,9.54608E+07,
Q03265,ATPA_MOUSE,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",1.59398E+08,1.40807E+08,1.74625E+08,1.6089E+08,1.71363E+08,1.87183E+08,1.51842E+08,1.91617E+08,1.57961E+08,2.3555E+08,2.11653E+08,2.25346E+08,
Q9Z2G6,SE1L1_MOUSE,Sel1l,Protein sel-1 homolog 1,6.31549E+06,5.97964E+06,6.02111E+06,5.26037E+06,4.99758E+06,4.43472E+06,7.12355E+06,7.0905E+06,5.45477E+06,6.76822E+06,6.49103E+06,6.1366E+06,
P61022,CHP1_MOUSE,Chp1,Calcineurin B homologous protein 1,6.72917E+06,8.10875E+06,7.51885E+06,7.27318E+06,,7.56947E+06,7.61778E+06,6.80873E+06,6.68908E+06,8.85522E+06,9.27866E+06,8.94615E+06,
Q61584,FXR1_MOUSE,Fxr1,RNA-binding protein FXR1,2.58351E+07,2.88497E+07,2.92675E+07,2.38005E+07,2.39453E+07,2.28087E+07,2.72195E+07,2.667E+07,3.13916E+07,2.63046E+07,2.58274E+07,2.5273E+07,
Q6ZQ88,KDM1A_MOUSE,Kdm1a,Lysine-specific histone demethylase 1A,1.0484E+07,9.23862E+06,1.02572E+07,9.36334E+06,9.47883E+06,1.04154E+07,1.13622E+07,1.08217E+07,1.03364E+07,1.18725E+07,1.24179E+07,1.2E+07,
Q9D8B3,CHM4B_MOUSE,Chmp4b,Charged multivesicular body protein 4b,1.83265E+07,1.73078E+07,1.71182E+07,1.68087E+07,1.52782E+07,2.04109E+07,2.32304E+07,1.74646E+07,2.07461E+07,3.00384E+07,2.52387E+07,2.6667E+07,
Q6ZQ38,CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1,5.48163E+07,5.09538E+07,5.359E+07,5.29267E+07,5.402E+07,5.16248E+07,5.47114E+07,4.87782E+07,4.8791E+07,6.20511E+07,5.81045E+07,6.07313E+07,
